"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"27","1","file:/data/kalbeck_2__0007_b.tif","/data/kalbeck_2__0007_b.tif","kalbeck_2__0007_b.tif","Signature","Done","53582465","File","tif","2026-05-20T06:52:59","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"28","1","file:/data/kalbeck_2__0010_a.tif","/data/kalbeck_2__0010_a.tif","kalbeck_2__0010_a.tif","Signature","Done","55049147","File","tif","2026-05-20T06:53:04","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"29","1","file:/data/kalbeck_2__0008_a.tif","/data/kalbeck_2__0008_a.tif","kalbeck_2__0008_a.tif","Signature","Done","54283975","File","tif","2026-05-20T06:53:00","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"30","1","file:/data/kalbeck_2__0008_b.tif","/data/kalbeck_2__0008_b.tif","kalbeck_2__0008_b.tif","Signature","Done","54134661","File","tif","2026-05-20T06:53:01","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"31","1","file:/data/kalbeck_2__0009_b.tif","/data/kalbeck_2__0009_b.tif","kalbeck_2__0009_b.tif","Signature","Done","53975039","File","tif","2026-05-20T06:53:03","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"32","1","file:/data/kalbeck_2__0009_a.tif","/data/kalbeck_2__0009_a.tif","kalbeck_2__0009_a.tif","Signature","Done","55187549","File","tif","2026-05-20T06:53:02","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"33","1","file:/data/kalbeck_2__0012_b.tif","/data/kalbeck_2__0012_b.tif","kalbeck_2__0012_b.tif","Signature","Done","53198363","File","tif","2026-05-20T06:53:09","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"34","1","file:/data/kalbeck_2__0012_a.tif","/data/kalbeck_2__0012_a.tif","kalbeck_2__0012_a.tif","Signature","Done","52093831","File","tif","2026-05-20T06:53:09","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"35","1","file:/data/kalbeck_2__0011_a.tif","/data/kalbeck_2__0011_a.tif","kalbeck_2__0011_a.tif","Signature","Done","53794279","File","tif","2026-05-20T06:53:06","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"36","1","file:/data/kalbeck_2__0010_b.tif","/data/kalbeck_2__0010_b.tif","kalbeck_2__0010_b.tif","Signature","Done","53694335","File","tif","2026-05-20T06:53:05","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"37","1","file:/data/kalbeck_2__0011_b.tif","/data/kalbeck_2__0011_b.tif","kalbeck_2__0011_b.tif","Signature","Done","50825255","File","tif","2026-05-20T06:53:07","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"38","1","file:/data/kalbeck_2__0015_b.tif","/data/kalbeck_2__0015_b.tif","kalbeck_2__0015_b.tif","Signature","Done","53394073","File","tif","2026-05-20T06:53:15","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"39","1","file:/data/kalbeck_2__0014_a.tif","/data/kalbeck_2__0014_a.tif","kalbeck_2__0014_a.tif","Signature","Done","54303803","File","tif","2026-05-20T06:53:13","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"40","1","file:/data/kalbeck_2__0017_a.tif","/data/kalbeck_2__0017_a.tif","kalbeck_2__0017_a.tif","Signature","Done","53857553","File","tif","2026-05-20T06:53:19","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"41","1","file:/data/kalbeck_2__0017_b.tif","/data/kalbeck_2__0017_b.tif","kalbeck_2__0017_b.tif","Signature","Done","53505779","File","tif","2026-05-20T06:53:19","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
