"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-05-20T07:16:59","false","",""
"2","1","file:/data/kalbeck_1__0002_a.tif","/data/kalbeck_1__0002_a.tif","kalbeck_1__0002_a.tif","Signature","Done","67612217","File","tif","2026-05-20T07:10:13","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"3","1","file:/data/kalbeck_1__0001.tif","/data/kalbeck_1__0001.tif","kalbeck_1__0001.tif","Signature","Done","96780634","File","tif","2026-05-20T07:00:30","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"4","1","file:/data/kalbeck_1__0005_b.tif","/data/kalbeck_1__0005_b.tif","kalbeck_1__0005_b.tif","Signature","Done","52797605","File","tif","2026-05-20T07:10:19","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"5","1","file:/data/kalbeck_1__0002_b.tif","/data/kalbeck_1__0002_b.tif","kalbeck_1__0002_b.tif","Signature","Done","66261639","File","tif","2026-05-20T07:10:13","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","1","file:/data/kalbeck_1__0004_b.tif","/data/kalbeck_1__0004_b.tif","kalbeck_1__0004_b.tif","Signature","Done","50523593","File","tif","2026-05-20T07:10:17","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","1","file:/data/kalbeck_1__0003_b.tif","/data/kalbeck_1__0003_b.tif","kalbeck_1__0003_b.tif","Signature","Done","50655185","File","tif","2026-05-20T07:10:15","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","1","file:/data/kalbeck_1__0004_a.tif","/data/kalbeck_1__0004_a.tif","kalbeck_1__0004_a.tif","Signature","Done","47258397","File","tif","2026-05-20T07:10:17","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","1","file:/data/kalbeck_1__0006_a.tif","/data/kalbeck_1__0006_a.tif","kalbeck_1__0006_a.tif","Signature","Done","51140035","File","tif","2026-05-20T07:10:21","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","1","file:/data/kalbeck_1__0003_a.tif","/data/kalbeck_1__0003_a.tif","kalbeck_1__0003_a.tif","Signature","Done","49340759","File","tif","2026-05-20T07:10:15","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"11","1","file:/data/kalbeck_1__0005_a.tif","/data/kalbeck_1__0005_a.tif","kalbeck_1__0005_a.tif","Signature","Done","51205543","File","tif","2026-05-20T07:10:19","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"12","1","file:/data/kalbeck_1__0006_b.tif","/data/kalbeck_1__0006_b.tif","kalbeck_1__0006_b.tif","Signature","Done","52149693","File","tif","2026-05-20T07:10:21","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"13","1","file:/data/kalbeck_1__0008_b.tif","/data/kalbeck_1__0008_b.tif","kalbeck_1__0008_b.tif","Signature","Done","52003141","File","tif","2026-05-20T07:10:25","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"14","1","file:/data/kalbeck_1__0007_b.tif","/data/kalbeck_1__0007_b.tif","kalbeck_1__0007_b.tif","Signature","Done","52918763","File","tif","2026-05-20T07:10:23","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"15","1","file:/data/kalbeck_1__0007_a.tif","/data/kalbeck_1__0007_a.tif","kalbeck_1__0007_a.tif","Signature","Done","52094129","File","tif","2026-05-20T07:10:23","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"16","1","file:/data/kalbeck_1__0012_a.tif","/data/kalbeck_1__0012_a.tif","kalbeck_1__0012_a.tif","Signature","Done","50286135","File","tif","2026-05-20T07:10:33","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"17","1","file:/data/kalbeck_1__0008_a.tif","/data/kalbeck_1__0008_a.tif","kalbeck_1__0008_a.tif","Signature","Done","52318763","File","tif","2026-05-20T07:10:25","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"18","1","file:/data/kalbeck_1__0011_a.tif","/data/kalbeck_1__0011_a.tif","kalbeck_1__0011_a.tif","Signature","Done","48855387","File","tif","2026-05-20T07:10:31","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"19","1","file:/data/kalbeck_1__0010_b.tif","/data/kalbeck_1__0010_b.tif","kalbeck_1__0010_b.tif","Signature","Done","48658281","File","tif","2026-05-20T07:10:30","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"20","1","file:/data/kalbeck_1__0009_a.tif","/data/kalbeck_1__0009_a.tif","kalbeck_1__0009_a.tif","Signature","Done","51649253","File","tif","2026-05-20T07:10:27","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"21","1","file:/data/kalbeck_1__0010_a.tif","/data/kalbeck_1__0010_a.tif","kalbeck_1__0010_a.tif","Signature","Done","50740483","File","tif","2026-05-20T07:10:29","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"22","1","file:/data/kalbeck_1__0009_b.tif","/data/kalbeck_1__0009_b.tif","kalbeck_1__0009_b.tif","Signature","Done","51996403","File","tif","2026-05-20T07:10:27","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"23","1","file:/data/kalbeck_1__0011_b.tif","/data/kalbeck_1__0011_b.tif","kalbeck_1__0011_b.tif","Signature","Done","50197033","File","tif","2026-05-20T07:10:32","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"24","1","file:/data/kalbeck_1__0012_b.tif","/data/kalbeck_1__0012_b.tif","kalbeck_1__0012_b.tif","Signature","Done","51383889","File","tif","2026-05-20T07:10:34","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"25","1","file:/data/kalbeck_1__0015_a.tif","/data/kalbeck_1__0015_a.tif","kalbeck_1__0015_a.tif","Signature","Done","52692271","File","tif","2026-05-20T07:10:39","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"26","1","file:/data/kalbeck_1__0016_a.tif","/data/kalbeck_1__0016_a.tif","kalbeck_1__0016_a.tif","Signature","Done","51887335","File","tif","2026-05-20T07:10:41","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"27","1","file:/data/kalbeck_1__0015_b.tif","/data/kalbeck_1__0015_b.tif","kalbeck_1__0015_b.tif","Signature","Done","51349339","File","tif","2026-05-20T07:10:40","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"28","1","file:/data/kalbeck_1__0013_b.tif","/data/kalbeck_1__0013_b.tif","kalbeck_1__0013_b.tif","Signature","Done","53344943","File","tif","2026-05-20T07:10:36","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
